"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.09.2022","4,561","4,507","4,574","4,449","10,37M","2,82%"
"01.09.2022","4,436","4,450","4,509","4,399","11,20M","-1,25%"
"31.08.2022","4,491","4,500","4,542","4,467","16,89M","0,11%"
"30.08.2022","4,486","4,460","4,606","4,430","11,89M","1,20%"
"29.08.2022","4,433","4,403","4,468","4,356","8,92M","-0,44%"
"26.08.2022","4,453","4,560","4,587","4,431","10,32M","-1,51%"
"25.08.2022","4,522","4,596","4,596","4,481","7,55M","-0,51%"
"24.08.2022","4,544","4,558","4,580","4,503","8,19M","-0,89%"
"23.08.2022","4,585","4,531","4,617","4,515","9,61M","0,76%"
"22.08.2022","4,551","4,656","4,672","4,508","15,59M","-3,07%"
"19.08.2022","4,695","4,826","4,851","4,659","17,91M","-3,36%"
"18.08.2022","4,858","4,824","4,911","4,819","12,41M","0,70%"
"17.08.2022","4,824","4,887","4,947","4,819","14,58M","-0,68%"
"16.08.2022","4,857","4,820","4,871","4,799","15,47M","1,25%"
"15.08.2022","4,797","4,798","4,800","4,737","14,91M","0,42%"
"12.08.2022","4,777","4,750","4,801","4,747","15,00M","1,02%"
"11.08.2022","4,729","4,733","4,749","4,709","13,04M","0,42%"
"10.08.2022","4,709","4,681","4,710","4,655","14,16M","0,66%"
"09.08.2022","4,678","4,642","4,719","4,635","13,75M","0,68%"
"08.08.2022","4,647","4,668","4,681","4,595","13,27M","0,55%"
"05.08.2022","4,621","4,576","4,650","4,568","13,91M","0,25%"
"04.08.2022","4,609","4,560","4,664","4,557","14,94M","1,12%"
"03.08.2022","4,558","4,432","4,565","4,395","21,06M","3,24%"
"02.08.2022","4,416","4,365","4,456","4,360","18,14M","1,15%"
"01.08.2022","4,365","4,417","4,511","4,360","16,47M","-1,17%"
"29.07.2022","4,417","4,312","4,445","4,280","37,56M","5,97%"
"28.07.2022","4,168","4,194","4,209","4,121","20,74M","0,19%"
"27.07.2022","4,160","4,126","4,176","4,110","13,79M","1,32%"
"26.07.2022","4,106","4,162","4,167","4,087","16,09M","-2,17%"
"25.07.2022","4,197","4,140","4,218","4,138","12,69M","1,18%"
"22.07.2022","4,148","4,170","4,232","4,130","16,41M","-1,25%"
"21.07.2022","4,201","4,135","4,300","4,122","21,15M","0,73%"
"20.07.2022","4,170","4,286","4,310","4,109","23,88M","-2,12%"
"19.07.2022","4,260","4,073","4,279","4,060","20,50M","3,91%"
"18.07.2022","4,100","4,170","4,190","4,064","23,01M","-0,02%"
"15.07.2022","4,101","4,000","4,118","3,972","24,92M","2,54%"
"14.07.2022","4,000","4,104","4,137","3,986","20,21M","-3,11%"
"13.07.2022","4,128","4,175","4,175","4,060","21,97M","0,11%"
"12.07.2022","4,123","4,251","4,271","3,993","31,61M","-3,77%"
"11.07.2022","4,285","4,307","4,380","4,264","24,86M","-2,55%"
"08.07.2022","4,397","4,352","4,440","4,306","15,26M","0,79%"
"07.07.2022","4,363","4,295","4,408","4,282","20,15M","3,63%"
"06.07.2022","4,209","4,266","4,305","4,161","19,66M","-0,13%"
"05.07.2022","4,215","4,415","4,439","4,215","17,45M","-3,62%"
"04.07.2022","4,373","4,366","4,407","4,317","17,81M","1,39%"
"01.07.2022","4,313","4,302","4,424","4,275","16,96M","-0,39%"
"30.06.2022","4,331","4,300","4,344","4,202","19,58M","0,30%"
"29.06.2022","4,318","4,357","4,403","4,310","10,37M","-2,08%"
"28.06.2022","4,409","4,450","4,498","4,401","11,80M","-0,11%"
"27.06.2022","4,414","4,360","4,457","4,360","18,76M","1,63%"
"24.06.2022","4,343","4,265","4,354","4,212","29,51M","2,36%"
"23.06.2022","4,243","4,316","4,375","4,213","16,54M","-2,96%"
"22.06.2022","4,372","4,240","4,416","4,205","19,04M","1,50%"
"21.06.2022","4,308","4,337","4,420","4,288","16,31M","-0,50%"
"20.06.2022","4,330","4,293","4,354","4,240","14,58M","1,33%"
"17.06.2022","4,273","4,228","4,381","4,195","61,43M","2,41%"
"16.06.2022","4,172","4,250","4,252","4,128","24,82M","-2,10%"
"15.06.2022","4,261","4,346","4,347","4,258","25,68M","1,61%"
"14.06.2022","4,194","4,232","4,261","4,143","24,18M","0,96%"
"13.06.2022","4,154","4,310","4,315","4,154","35,46M","-3,63%"
"10.06.2022","4,311","4,686","4,686","4,311","51,19M","-9,13%"
"09.06.2022","4,744","4,946","4,950","4,744","27,64M","-4,69%"
"08.06.2022","4,977","5,050","5,051","4,948","11,90M","-1,23%"
"07.06.2022","5,039","5,075","5,107","5,036","8,67M","-1,27%"
"06.06.2022","5,104","4,994","5,119","4,992","9,49M","2,96%"
"03.06.2022","4,957","5,021","5,034","4,942","7,83M","-0,62%"
"02.06.2022","4,989","5,035","5,052","4,968","9,12M","-0,39%"
"01.06.2022","5,008","5,110","5,139","5,001","13,53M","-1,40%"
"31.05.2022","5,079","5,123","5,160","5,046","24,68M","-1,32%"
"30.05.2022","5,147","5,080","5,147","5,061","24,52M","2,10%"
"27.05.2022","5,041","5,012","5,044","4,968","14,88M","0,68%"
"26.05.2022","5,007","4,928","5,019","4,916","17,37M","2,29%"
"25.05.2022","4,895","4,900","4,951","4,828","15,40M","1,04%"
"24.05.2022","4,845","4,818","4,910","4,795","16,52M","-0,54%"
"23.05.2022","4,871","4,841","4,871","4,786","13,31M","2,60%"
"20.05.2022","4,747","4,816","4,828","4,735","24,91M","-0,40%"
"19.05.2022","4,766","4,814","4,820","4,701","13,75M","-1,80%"
"18.05.2022","4,854","4,910","4,968","4,832","19,25M","-0,95%"
"17.05.2022","4,900","4,900","4,929","4,873","11,19M","1,08%"
"16.05.2022","4,848","4,804","4,870","4,769","14,41M","-0,04%"
"13.05.2022","4,850","4,763","4,857","4,754","22,72M","3,01%"
"12.05.2022","4,708","4,627","4,755","4,613","23,75M","-0,82%"
"11.05.2022","4,747","4,677","4,797","4,576","26,42M","2,32%"
"10.05.2022","4,640","4,648","4,813","4,633","24,83M","1,33%"
"09.05.2022","4,579","4,633","4,695","4,579","20,68M","-0,22%"
"06.05.2022","4,589","4,600","4,662","4,505","26,66M","-0,02%"
"05.05.2022","4,590","4,880","4,902","4,590","38,66M","-3,77%"
"04.05.2022","4,770","4,918","4,924","4,756","","-2,55%"
"03.05.2022","4,895","4,900","4,977","4,865","25,17M","1,03%"
"02.05.2022","4,845","4,972","5,031","4,844","","-4,23%"
"29.04.2022","5,059","4,891","5,059","4,860","24,73M","6,55%"
"28.04.2022","4,748","4,805","4,821","4,681","17,79M","1,13%"
"27.04.2022","4,695","4,776","4,780","4,640","24,34M","0,27%"
"26.04.2022","4,682","4,926","4,926","4,682","36,77M","-2,66%"
"25.04.2022","4,811","4,900","4,943","4,811","26,41M","-3,91%"
"22.04.2022","5,006","5,105","5,168","5,006","15,31M","-2,83%"
"21.04.2022","5,152","5,122","5,178","5,108","11,78M","1,20%"
"20.04.2022","5,091","5,105","5,202","5,085","19,70M","0,18%"
"19.04.2022","5,082","5,020","5,115","4,971","176,77M","0,95%"
"14.04.2022","5,034","4,955","5,073","4,936","48,49M","1,63%"
"13.04.2022","4,953","4,952","4,994","4,912","71,75M","-0,33%"
"12.04.2022","4,970","4,873","5,054","4,841","23,14M","0,16%"
